Date,Open,High,Low,Close,Volume,Range,Return_%,H>=L,Valid_Range,EMH,EML,ExpRange
2025-09-15,24115.25,24315.5,24076.0,24296.5,218985,239.5,0.759955626056219,True,True,24269.5,23856.0,413.5
2025-09-16,24290.0,24403.5,24258.25,24284.0,94412,145.25,-0.0514477393863344,True,True,24445.75,24066.25,379.5
2025-09-17,24290.0,24312.5,24003.75,24222.5,107326,308.75,-0.2532531708120622,True,True,24445.75,24108.0,337.75
2025-09-18,24250.25,24569.5,24248.5,24460.25,66949,321.0,0.9815254412220087,True,True,24396.5,24061.0,335.5
2025-09-19,24468.25,24575.0,24412.5,24568.0,2463,162.5,0.4405106243803747,True,True,24626.5,24306.25,320.25
2025-09-22,24850.0,25027.25,24748.75,25003.0,467903,278.5,1.770595897101912,True,True,24999.75,24688.0,311.75
2025-09-23,24995.0,25026.0,24780.5,24827.25,551327,245.5,-0.7029156501219824,True,True,25154.25,24833.0,321.25
2025-09-24,24839.5,24913.5,24627.0,24739.25,521659,286.5,-0.3544492442779656,True,True,24998.75,24680.5,318.25
2025-09-25,24746.0,24793.5,24422.5,24629.25,687132,371.0,-0.4446375698535676,True,True,24908.75,24578.0,330.75
2025-09-26,24642.5,24747.5,24520.0,24726.75,542927,227.5,0.3958707634215353,True,True,24813.5,24457.5,356.0
2025-09-29,24726.5,24975.5,24721.75,24837.75,501113,253.75,0.4489065485759447,True,True,24895.25,24541.5,353.75
2025-09-30,24817.75,24913.75,24722.25,24901.75,503096,191.5,0.2576722931827646,True,True,24987.5,24611.25,376.25
2025-10-01,24843.0,25036.75,24633.25,25017.5,466539,403.5,0.464826769202964,True,True,25006.25,24637.75,368.5
2025-10-02,25009.25,25180.0,24993.75,25110.0,451673,186.25,0.3697411811731888,True,True,25181.75,24804.0,377.75
2025-10-03,25101.5,25196.5,24923.25,24992.0,482299,273.25,-0.4699322978892861,True,True,25276.75,24896.25,380.5
