20250919 035100;24715.5;24716.75;24710.5;24714.75;114
20250919 035200;24716;24720;24714.5;24719.75;68
20250919 035300;24720;24723.5;24716.75;24722.5;83
20250919 035400;24722;24722.5;24716;24716.5;41
20250919 035500;24717;24719.25;24709.75;24711;79
20250919 035600;24710.25;24712.5;24708.5;24708.5;63
20250919 035700;24708;24708.5;24704.75;24706.25;99
20250919 035800;24706;24710.25;24704.5;24709.5;86
20250919 035900;24709.75;24711.75;24709.5;24710.25;53
20250919 040000;24709.5;24712.75;24709;24712;60
20250919 040100;24713;24715;24709.75;24712.5;87
20250919 040200;24711.75;24711.75;24704.5;24705.5;94
20250919 040300;24705.25;24706.25;24701.5;24702.25;135
20250919 040400;24702.5;24702.5;24694.5;24695;215
20250919 040500;24694.25;24700;24690.75;24698.25;231
20250919 040600;24697.5;24703.5;24696.25;24702.75;105
20250919 040700;24702.5;24706;24702;24704.75;77
20250919 040800;24705;24707;24702.75;24704.5;78
20250919 040900;24702.75;24703.25;24699.25;24699.25;109
20250919 041000;24700.25;24705.75;24700.25;24700.5;39
20250919 041100;24700.5;24702;24696.5;24701;94
20250919 041200;24699.75;24700.75;24696.75;24699;71
20250919 041300;24697.25;24698.5;24694.25;24694.25;66
20250919 041400;24694;24697.5;24688.75;24692.75;149
20250919 041500;24692.75;24695;24689.5;24690.5;124
20250919 041600;24689.75;24690.75;24687;24689.25;114
20250919 041700;24688.5;24697.25;24687.25;24695.75;109
20250919 041800;24695.25;24699.5;24694.25;24697;112
20250919 041900;24695.25;24695.5;24688.25;24689.25;137
20250919 042000;24690.75;24691;24686.75;24688.5;79
20250919 042100;24688.5;24693.5;24687.75;24688;155
20250919 042200;24688;24689.5;24682;24689.5;260
20250919 042300;24689.75;24693.5;24688.75;24693.5;82
20250919 042400;24693.5;24696;24689.75;24690.75;81
20250919 042500;24690;24690.25;24687.75;24687.75;70
20250919 042600;24688.25;24693.75;24688.25;24691.5;51
20250919 042700;24691.75;24702.75;24691.5;24702.75;132
20250919 042800;24702.25;24705;24701.5;24702.25;93
20250919 042900;24702.5;24705.25;24702;24703;78
20250919 043000;24702.75;24706;24702.5;24705.25;58
20250919 043100;24705.5;24705.75;24702.75;24703.5;73
20250919 043200;24703.25;24706.5;24703.25;24704.75;77
20250919 043300;24705.75;24707.75;24705.25;24705.75;72
20250919 043400;24707;24708.5;24705.25;24708;54
20250919 043500;24708.75;24712;24708.5;24709;74
20250919 043600;24708.75;24710.25;24707;24707.5;50
20250919 043700;24707.75;24711.25;24707.75;24710.25;31
20250919 043800;24711;24712.5;24709.75;24712.5;32
20250919 043900;24711.75;24711.75;24710.5;24711.5;15
20250919 044000;24711.5;24713.75;24711.5;24712;42
20250919 044100;24712;24712.25;24709.75;24712;66
20250919 044200;24712.5;24714.25;24711.5;24713;50
20250919 044300;24713.25;24713.5;24709.75;24710.75;54
20250919 044400;24710.75;24711.25;24709.75;24711.25;15
20250919 044500;24710.75;24711;24709;24710.75;34
20250919 044600;24711;24711.5;24708.75;24708.75;19
20250919 044700;24709;24712.5;24708.75;24712.25;19
20250919 044800;24712.5;24713.25;24710;24710;24
20250919 044900;24710.5;24713.5;24710.5;24713.25;46
20250919 045000;24713.75;24715.5;24713.5;24715;59
20250919 045100;24715.75;24715.75;24714.25;24714.75;39
20250919 045200;24715.25;24715.25;24711.5;24711.5;32
20250919 045300;24711.25;24712.75;24711.25;24712.5;25
20250919 045400;24712.5;24714.25;24712.25;24714;39
20250919 045500;24714;24714.75;24712.75;24714.25;34
20250919 045600;24714;24715.5;24714;24715;23
20250919 045700;24716;24721.75;24716;24719.75;119
20250919 045800;24720.25;24722.75;24720.25;24721;82
20250919 045900;24721;24722.5;24720.5;24720.5;39
20250919 050000;24721;24721.5;24719.5;24720.25;34
20250919 050100;24720.5;24723.5;24719.5;24719.75;58
20250919 050200;24719;24720.25;24718;24720;45
20250919 050300;24720.5;24720.5;24719.25;24720;17
20250919 050400;24719.5;24719.5;24717.25;24718.25;35
20250919 050500;24718.25;24718.75;24717;24717.75;30
20250919 050600;24718;24718;24716.5;24717.25;16
20250919 050700;24717.25;24719.25;24717.25;24718.75;37
20250919 050800;24718.25;24718.75;24717.75;24718.5;20
20250919 050900;24718.25;24718.75;24717;24717.25;30
20250919 051000;24717.5;24718.25;24717.25;24717.75;20
